,pdfFile,txtFile,eventDate,eventPlace,locList,geoEvents
0,1.Comarnic-proces%20verbal%20nr.4082%20din%2002.05.2018.pdf,1.Comarnic-proces%20verbal%20nr.4082%20din%2002.05.2018.txt,23.04.2018,Orasul Comarnic,"['ROMANIA', 'Orasul Comarnic\n\n{', 'Comarnic', 'judetul Prahova', 'Comarnic', 'strada Secaria', 'cartierul Vatra Sat', 'strazile Apelor', 'Sipotului', 'DN] si Batraioarei', 'cartierul Poiana in zonele', 'Lunca Sarului', 'Valea Sarului', 'Simion”,,,Carbunarita', 'valea Mesteacénului', 'Toplita', 'Livosu', 'Prund', 'Podu lui Neag in zonele', 'valea Moldovencei” si', 'valea\nMoldovencei —', 'valea Mesteacdnului', 'Podu Lung in zonele', 'Islaz', 'DN I.', 'Comarnic', 'Prahova', 'Prahova', 'erodari de', 'Aneta']",[]
1,10.%20Breaza%20-proces%20verbal%20nr.%209285%20din%2020.06.2018.pdf,10.%20Breaza%20-proces%20verbal%20nr.%209285%20din%2020.06.2018.txt,20.01.2015,Prahova,"['ROMANIA', 'Prahova', 'Strada Drum Nou', 'Strada Valea Morii', 'Strada Daliilor pet', 'Strada Primaverii yet .Cimitir', 'Strada Dorobanti pet ..Mioret', 'Jungime', 'punctul Piciorea', 'Judetul Prahova', 'Prahova', 'Prahova', 'erodari de\n', 'siguranté', 'Prahova']",[]
2,10096%20din%2010.04.2018.pdf,10096%20din%2010.04.2018.txt,10.04.2018,Campina,"['ROMANIA', 'Campina', 'DJ207', 'CA4mpina', 'DJ207', 'DJ 207 si parapetul metalic', 'Campina', 'DJ207', 'DJ 207', 'DJ 102 I, in extravilanul municipiului', 'Campina', 'raului Doftana', 'DJ 102 I.\n\nB. MASURI CARE SE IMPUN:\n\n1.', 'Prahova', 'Prahova', 'erodari de', 'sA', 'DJ 207 si', 'Campina', 'DJ 102 I.']",[]
3,1015-07.04.2015.pdf,1015-07.04.2015.txt,03.04.2015,Judetul Prahova nr. 8,"['ROMANIA', 'Judetul Prahova nr. 8', 'Prahova', 'pdraului', 'DS556', 'paraul Viroaga', 'Prahova', '.G.A. Prahova', 'erodari de', '.G.A. Prahova', 'Prahova']",[]
4,1027%20din%2017.05.2017.pdf,1027%20din%2017.05.2017.txt,17.05.2017,DJ 218 si,"['ROMANIA', 'DJ 218 si', 'Prahova']",[]
5,1045%20din%2002.03.2017.pdf,1045%20din%2002.03.2017.txt,02.03.2017,Prahova,"['ROMANIA', 'Prahova', 'judetul Prahova', 'Nucsoara de Jos', 'Valea Rancezilor', 'Nucsoara de Jos', 'Valea Rancezului', 'Tarlesti', 'DJ 102 B', 'punctul Borsari', 'Chicioreni', 'Prahova', 'erodari de', 'Valea\nRancezului\n', 'Sing']",[]
6,10533%20din%2008.09.2016.pdf,10533%20din%2008.09.2016.txt,08.09.2016,orasul Slanic,"['ROMANIA', 'orasul Slanic\n\nin urma', 'Prahova', 'orasul Slanic', 'judetul Prahova', 'strada Grotei', 'strada Grotei', 'locuingé', 'cA', 'Prahova', 'Prahova', 'erodari de', 'orasul Slanic', 'Tonut']",[]
7,1069-24.03.2015.pdf,1069-24.03.2015.txt,20.01.2015,Izvoarele,"['ROMANIA', 'Izvoarele', 'Crasna', 'Crasna', 'Izvoarele si satul Schiulesti', 'Crasna Sector UP ua 9', 'Dn 280 mm PEHD', 'Crasna Sector UP ua 15', 'Dn 280 mm PEHD', 'Crasna Sector', '1.T.R.S.V. Ploiesti', 'Izvoarele', 'Prahova', 'erodari de', 'Prahova']",[]
8,1088%20din%2022.05.2017.pdf,1088%20din%2022.05.2017.txt,22.05.2017,Chiojdeanca,"['ROMANIA', 'Chiojdeanca\n\nfn', 'Prahova', 'Chiojdeanca', 'judetul Prahova', 'Jatime', 'Prahova', 'erodari de', 'Prahova', 'Sing']",[]
9,1089%20din%2018.02.2015.pdf,1089%20din%2018.02.2015.txt,18.02.2015,Gura Vitioarei,"['ROMANIA', 'Gura Vitioarei\n\nUrmare a', 'Prahova', 'Gura Vitioarei', 'DC 7', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de', 'Gura Vitioarei\n\nTermen: permanent\n\n', 'Gura Vitioarei', 'Prahova', 'Prahova', 'Gura Vitioarei\nprimar']",[]
10,10973%20din%2008.12.2015.pdf,10973%20din%2008.12.2015.txt,08.12.2015,Drajna de Sus si in baza,"['ROMANIA', 'Drajna de Sus si in baza\nOrdinului Prefectului', 'Drajna', 'Drajna de Sus', 'Drajna', 'paraul Drajna', 'Cerasu', 'DJ230', 'Drajna', 'Cerasu', 'Drajna', 'judetul Prahova', 'Prahova', 'Prahova', 'Prahova', 'erodari de', 'Drajna', 'Drajna si proprietarii', 'Prahova', 'Prim4ria']",[]
11,11.Gura%20Vitioarei%20-proces%20verbal%20nr.%203673%20din%2019.06.2018.pdf,11.Gura%20Vitioarei%20-proces%20verbal%20nr.%203673%20din%2019.06.2018.txt,19.06.2018,Gura Vitioarei,"['ROMANIA', 'Gura Vitioarei\n\nUrmare a', 'DC 42', 'Nucet', 'Poiana Copaceni', 'Gura Vitioarei', 'Judetul Prahova', 'Judetul Prahova', 'erodari de', 'activitd{ilor de urmdrire curenta']",[]
12,1125%20din%2019.02.2015.pdf,1125%20din%2019.02.2015.txt,19.02.2015,Ceptura,"['ROMANIA', 'Ceptura\n\nUmmare', 'Prahova', 'Ceptura de Sus', 'DJ 102N', 'Dutu - Ulta Popa', 'DJ 102N', 'Soimesti', 'DJ 102N', 'Micsunel', 'Suditi', 'Micsunel', 'Soimesti', 'Micsunel', 'Rotari', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'Prahova', 'erodari de', 'siguranté']",[]
13,1133%20din%2005.04.2018.pdf,1133%20din%2005.04.2018.txt,05.04.2017,Gornet Cricov,"['ROMANIA', 'Gornet Cricov', 'Gornet Cricov', 'judetul Prahova', 'Tarculesti', 'Ionifé', 'rasturnaté', 'Tarculesti', 'DJ 102 N', 'versantul sténg', 'DJ 102 N', 'Prahova', 'erodari de\n']",[]
14,1135%20din%2012.04.2018.pdf,1135%20din%2012.04.2018.txt,12.04.2018,Adunafi,"['ROMANIA', 'Adunafi', 'judetul Prahova', 'Adunafti', 'punctul Barbu', 'punctul Branzea', 'Comarnic', 'Prahova', 'Prahova', 'erodari de']",[]
15,11463%20din%2006.12.2016.pdf,11463%20din%2006.12.2016.txt,19073/II/E/2/CT,Prahova,"['ROMANIA', 'Prahova', 'Drajna', 'judetul Prahova', 'Drajna', 'Catunu', 'DC 32', 'Brujbeanu', 'Ogretineanca', 'Prahova', 'erodari de', 'siguranti a', 'siguranté', 'Drajna']",[]
16,1148-27.04.2015.pdf,1148-27.04.2015.txt,27.04.2015,Bucuresti,"['ROMANIA', 'Bucuresti', 'strada Cristofor Columb', 'sector 1', 'Ummare', 'DJ 100 E Poiana Campina', 'DJ 100 E Poiana', 'DJ 100 E Poiana Caémpina ~', 'Draganeasa', 'strada Principala', 'Bucuresti', 'strada Cristofor Columb', 'sector 1', 'Prahova', 'Prahova', 'erodari de', 'Sformele', 'detetiorarilor', 'Prahova']",[]
17,1153%20din%2021.04.2017.pdf,1153%20din%2021.04.2017.txt,21.04.2017,Gornet Cricov,"['ROMANIA', 'Gornet Cricov', '.G.A. Prahova', 'Gornet Cricov', 'judetul Prahova', 'Tarculesti', 'contureazi', 'versantul stang al', 'vaii si', 'strada\nSperantei', 'Prahova', 'erodari de']",[]
18,11767%20din%2026.09.2017.pdf,11767%20din%2026.09.2017.txt,26.09.2017,Prahova,"['ROMANIA', 'Prahova', 'DJ 102 I de satul']",[]
19,1178%20din%2018.05.2016.pdf,1178%20din%2018.05.2016.txt,18.05.2016,Chiojdeanca,"['ROMANIA', 'Chiojdeanca\n\nfn', 'Prahova', 'Chiojdeanca', 'judetul Prahova', 'Tarna', 'DC 51', 'DC 51', 'DC 51 Chiojdeanca-Trenu', 'Trenu', 'DC 51', 'Trenu', 'Trenu', 'DC 51', 'Prahova', 'Prahova', 'erodari de', 'DC 51', 'DC 51']",[]
20,11935%20din%2028.11.2016.pdf,11935%20din%2028.11.2016.txt,28.11.2016,Cornu,"['ROMANIA', 'Cornu\n\nfn urma', 'Cornu', 'judetul Prahova', 'Cornu', 'DN 1', 'DN 1', 'Prahova', 'erodari de']",[]
21,1195%20din%2005.07.2016.pdf,1195%20din%2005.07.2016.txt,19.05.2016,Aricestii Zeletin,"['ROMANIA', 'Aricestii Zeletin', 'Prahova', 'Aricestii Zeletin', 'judetul Prahova', 'DJ', 'fagase', 'DC 160', 'Carbunesti', 'Carbunesti', 'Prahova', '.G.A. Prahova', 'erodari de', 'DC 160 in', 'DC 160.\n\nR&spunde:', 'siguranté', 'DC 160.\n\nRaspunde:', 'D.J. 233 si', 'Prahova']",[]
22,12.Gornet%20-proces%20verbal%20nr.%202602%20din%2019.06.2018.pdf,12.Gornet%20-proces%20verbal%20nr.%202602%20din%2019.06.2018.txt,25.04.2018,judetul Prahova,"['ROMANIA', 'judetul Prahova', 'strada Sarata, nr.386', 'Prahova', 'erodari de\n', 'Ing. St']",[]
23,12027%20din%2018.04.2018.pdf,12027%20din%2018.04.2018.txt,18.04.2018,Barcanesti,"['ROMANIA', 'Barcanesti\n\nfn urma', 'Prahova', 'Barcdnesti', 'Tatarani si Barcanesti', 'Tatarani', 'zona KM70', 'DN1', 'Prahova', 'Prahova', 'erodari de']",[]
24,12055%20din%2010.11.2016.pdf,12055%20din%2010.11.2016.txt,10.11.2016,Poiana Campina,"['ROMANIA', 'Poiana Campina', 'Prahova', 'Poiana Campina', 'Poiana Campina', 'DJ 101P', 'Ragman', 'Ragman', 'Prahova', 'erodari de', 'Poiana Campina', 'Poiana Campina', 'Prahova', 'Poiana Campi']",[]
